scale,dataset,auroc_c0,auroc_c1,d_auroc,p_auroc,seeds_dir,median,iqr,bacc_raw,bacc_cal,posrate_raw,posrate_cal,margin,cf_margin,auroc_id,gap,p_gap,auroc_zs,d_auroc_fs_minus_zs,d_bacc_fs_minus_zs,rule,acc_id,majority_id,S1a_pass_acc_id_ge_060,beats_majority_id
70B,acsincome,0.8413,0.8273,0.014,0.125,4,0.9047,0.6733,0.703,0.5138,0.6904,0.9832,2.0754,-5.409,0.8232,-0.0181,0.1875,0.84,-0.002,-0.0281,raw,0.5984,0.6848,False,False
8B,acsincome,0.6823,0.6704,0.0119,0.625,3,0.867,0.0871,0.5023,0.6644,0.9952,0.4256,1.8908,1.9405,0.6764,-0.006,1.0,0.7076,-0.0294,0.2161,calibrated,0.672,0.6848,True,False
70B,acspubcov,0.5272,0.5471,-0.0199,0.4375,2,0.867,0.2468,0.5158,0.5153,0.88,0.9472,1.8633,-1.3823,0.5824,0.0552,0.0625,0.587,-0.0734,-0.0352,raw,0.3696,0.7776,False,False
8B,acspubcov,0.5173,0.5185,-0.0012,1.0,3,0.867,0.0578,0.5,0.5034,1.0,0.7768,1.8588,1.6942,0.4756,-0.0416,0.3125,0.4887,0.0298,0.0034,calibrated,0.4008,0.7776,False,False
70B,anes,0.7302,0.6024,0.1278,0.0625,5,0.8933,0.583,0.6438,0.5318,0.7088,0.956,1.9705,-4.5122,0.7312,0.001,1.0,0.7432,-0.018,0.0406,raw,0.7096,0.7176,True,False
8B,anes,0.6819,0.507,0.1749,0.0625,5,0.8355,0.1736,0.5192,0.6375,0.9272,0.4272,1.2633,1.794,0.7096,0.0278,0.4375,0.7158,-0.038,0.1382,calibrated,0.5912,0.7176,False,False
70B,brfss_diabetes,0.7802,0.7311,0.0491,0.3125,3,0.7058,0.7995,0.6975,0.5176,0.5944,0.9712,0.2536,-5.8105,0.7575,-0.0226,0.8125,0.7198,0.0814,0.0361,raw,0.5064,0.8768,False,False
8B,brfss_diabetes,0.5919,0.6172,-0.0252,0.625,2,0.9241,0.0353,0.5,0.5617,1.0,0.7944,2.4787,2.2715,0.5961,0.0042,0.8125,0.6753,-0.1273,0.0443,calibrated,0.284,0.8768,False,False
