dataset,n_features,domain_auc,detectable,prior_source,prior_target_est,prior_target_bbse_raw,prior_reliable,prior_reason,prior_target_true,top_drift,proxy_features,acc_id,acc_ood,auc_id,auc_ood,majority_id,majority_ood
brfss_diabetes,12,0.6685,True,0.1247,0.2076,0.2076,True,interior BBSE solution (cond=19.8),0.1736,INCOME,BMI5|HEALTH_COV|TOLDHI,0.8756,0.8321,0.8099,0.8079,0.8735,0.8264
acsincome,12,0.9148,True,0.3226,0.3853,0.3853,True,interior BBSE solution (cond=2.0),0.3985,POBP,WKHP|POBP|AGEP,0.8149,0.8034,0.884,0.893,0.6794,0.6015
acspubcov,12,0.8079,True,0.2238,0.2241,1.0,False,BBSE solution on simplex boundary (raw=1.000); prior not identifiable,0.6374,AGEP,ESR|PINCP|SCHL,0.7971,0.6084,0.7685,0.7957,0.7759,0.6374
anes,12,0.5574,False,0.696,0.663,0.663,True,interior BBSE solution (cond=2.8),0.6168,VCF0218,VCF0724|VCF0721|VCF0720,0.8079,0.7615,0.8436,0.8327,0.7051,0.6168
